ID	NAME	SECONDARY ID	FORMULA	MASS	SMILES	PDB ACCESSION
CHEBI:17934	pregnan-21-al	CHEBI:8384; CHEBI:14879; CHEBI:26230	C21H34O	302.49406	[H][C@@]12CCC3CCCC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@@]21[H])CC=O		
CHEBI:18378	4alpha-methyl-5alpha-cholest-7-en-3beta-ol	CHEBI:6534; CHEBI:12050	C28H48O	400.68012	[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@H](C)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:19168	17-oxo steroid		C18H27OR	259.407	CC12CCC3C(CCC4CCCCC34[*])C1CCC2=O		
CHEBI:19793	20,26-dihydroxyecdysone		C27H44O8	496.63350	[H][C@]12CC[C@]3(C)[C@]([H])(CC[C@@]3(O)C1=CC(=O)[C@]1([H])C[C@@H](O)[C@@H](O)C[C@]21C)[C@@](C)(O)[C@H](O)CCC(C)(O)CO		
CHEBI:19804	22-deoxy-20,21-dihydroxyecdysone		C27H44O7	480.63406	[H][C@]12CC[C@]3(C)[C@]([H])(CC[C@@]3(O)C1=CC(=O)[C@]1([H])C[C@@H](O)[C@@H](O)C[C@]21C)[C@](O)(CO)CCCC(C)(C)O		
CHEBI:20538	2-deoxy-20-hydroxy-5alpha-ecdysone 3-acetate		C29H46O7	506.67134	[H][C@]12CC[C@]3(C)[C@]([H])(CC[C@@]3(O)C1=CC(=O)[C@@]1([H])C[C@H](CC[C@]21C)OC(C)=O)[C@@](C)(O)[C@H](O)CCC(C)(C)O		
CHEBI:20640	5alpha-campestane		C28H50	386.69660	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@@H](C)C(C)C		
CHEBI:20642	5alpha-cholane		C24H42	330.59028	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CCC		
CHEBI:20652	5alpha-ergostane		C28H50	386.69660	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@H](C)C(C)C		
CHEBI:20653	5alpha-estrane		C18H30	246.43080	[H][C@]12CCCC[C@]1([H])[C@@]1([H])CC[C@]3(C)CCC[C@@]3([H])[C@]1([H])CC2		
CHEBI:20654	5alpha-gorgostane		C30H52	412.73388	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)[C@@]1([H])C[C@]1(C)[C@H](C)C(C)C		
CHEBI:20655	5alpha-poriferastane		C29H52	400.72318	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@H](CC)C(C)C		
CHEBI:20656	5alpha-pregnane		C21H36	288.51054	[H][C@]1(CC)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CCCC[C@]4(C)[C@@]3([H])CC[C@]12C		
CHEBI:20658	5alpha-stigmastane		C29H52	400.72318	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@@H](CC)C(C)C		
CHEBI:20659	5beta-androstane		C19H32	260.45738	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)CCC[C@@]3([H])[C@]1([H])CC2		
CHEBI:20662	5beta-campestane		C28H50	386.69660	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@@H](C)C(C)C		
CHEBI:20664	5beta-cholane		C24H42	330.59028	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CCC		
CHEBI:20669	5beta-ergostane		C28H50	386.69660	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@H](C)C(C)C		
CHEBI:20670	5beta-estrane		C18H30	246.43080	[H][C@@]12CCCC[C@]1([H])[C@@]1([H])CC[C@]3(C)CCC[C@@]3([H])[C@]1([H])CC2		
CHEBI:20671	5beta-furostan		C27H46O	386.65354	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(C[C@]4([H])OC(CCC(C)C)[C@@H](C)[C@]34[H])[C@]1([H])CC2		
CHEBI:20672	5beta-gorgostane		C30H52	412.73388	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)[C@@]1([H])C[C@]1(C)[C@H](C)C(C)C		
CHEBI:20673	5beta-poriferastane		C29H52	400.72318	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@H](CC)C(C)C		
